serial_number,site_id,timestamp,ac_voltage,ac_frequency,temperature_f,dc_current,dc_voltage,duration,energy_produced,sku_name
535097072494,SITE-C,2025-06-01 06:00:00,238.6,59.969,80.3,0.55,32.9,900,3.17,IQ8H-72-2-US
678135895602,SITE-C,2025-06-01 06:00:00,239.6,59.968,80.7,0.39,33.6,900,2.0,IQ8M-72-2-US
372471000912,SITE-C,2025-06-01 06:00:00,241.7,59.981,80.2,0.79,33.3,900,5.46,IQ8A-72-2-US
309601283964,SITE-C,2025-06-01 06:00:00,241.0,60.024,75.7,0.12,32.4,900,4.27,IQ8H-72-2-US
443518482250,SITE-C,2025-06-01 06:00:00,242.8,59.951,84.0,0.16,32.6,900,3.84,IQ8M-72-2-US
645125094128,SITE-D,2025-06-01 06:00:00,241.2,59.982,77.3,0.81,31.1,900,3.54,IQ8M-72-2-US
892029676167,SITE-D,2025-06-01 06:00:00,241.5,59.962,84.5,0.53,34.0,900,5.74,IQ8A-72-2-US
234721089767,SITE-D,2025-06-01 06:00:00,239.9,59.991,83.3,0.97,32.0,900,6.24,IQ8H-72-2-US
309593627507,SITE-D,2025-06-01 06:00:00,242.8,59.979,75.1,0.85,31.1,900,3.94,IQ8M-72-2-US
515381048029,SITE-D,2025-06-01 06:00:00,238.9,60.003,78.5,0.25,34.0,900,2.85,IQ8A-72-2-US
694061098694,SITE-D,2025-06-01 06:00:00,237.2,59.993,75.2,0.55,33.3,900,3.7,IQ8H-72-2-US
580501593187,SITE-D,2025-06-01 06:00:00,241.1,60.045,84.2,0.61,30.5,900,5.73,IQ8M-72-2-US
564861890909,SITE-D,2025-06-01 06:00:00,240.8,59.994,79.6,0.35,31.5,900,3.63,IQ8A-72-2-US
228242935541,SITE-D,2025-06-01 06:00:00,242.1,60.018,80.9,0.04,32.1,900,2.86,IQ8H-72-2-US
327387036431,SITE-D,2025-06-01 06:00:00,242.6,60.0,77.7,0.41,30.7,900,3.65,IQ8M-72-2-US
720455203063,SITE-E,2025-06-01 06:00:00,240.5,60.0,79.7,0.19,30.6,900,4.7,IQ8M-72-2-US
160237878504,SITE-E,2025-06-01 06:00:00,237.9,60.0,79.4,0.77,31.2,900,6.41,IQ8A-72-2-US
707643761579,SITE-E,2025-06-01 06:00:00,240.6,60.027,75.6,0.74,30.2,900,3.36,IQ8H-72-2-US
578015507756,SITE-E,2025-06-01 06:00:00,242.1,60.047,82.4,0.32,30.8,900,5.7,IQ8M-72-2-US
149680543237,SITE-E,2025-06-01 06:00:00,237.2,60.014,82.5,0.23,33.6,900,4.22,IQ8A-72-2-US
409135397229,SITE-E,2025-06-01 06:00:00,240.6,60.046,81.5,0.99,32.8,900,3.31,IQ8H-72-2-US
361822382459,SITE-E,2025-06-01 06:00:00,237.5,59.981,79.6,0.5,30.6,900,3.18,IQ8M-72-2-US
346545380174,SITE-E,2025-06-01 06:00:00,240.1,60.007,84.2,0.42,30.2,900,5.17,IQ8A-72-2-US
264807152456,SITE-E,2025-06-01 06:00:00,242.3,60.043,79.2,0.79,30.2,900,4.55,IQ8H-72-2-US
394389024361,SITE-E,2025-06-01 06:00:00,240.1,59.96,79.7,0.59,33.7,900,3.19,IQ8M-72-2-US
849663637755,SITE-A,2025-06-01 06:15:00,240.0,59.998,81.0,0.78,33.5,900,6.01,IQ8M-72-2-US
290477696309,SITE-A,2025-06-01 06:15:00,242.9,60.033,82.5,0.25,30.3,900,3.63,IQ8A-72-2-US
254024509602,SITE-A,2025-06-01 06:15:00,238.9,59.988,79.0,0.2,30.8,900,5.59,IQ8H-72-2-US
468551387033,SITE-A,2025-06-01 06:15:00,239.1,59.987,76.4,0.11,32.0,900,4.19,IQ8M-72-2-US
275186084697,SITE-A,2025-06-01 06:15:00,241.1,59.964,79.7,0.85,31.7,900,3.65,IQ8A-72-2-US
555940203440,SITE-A,2025-06-01 06:15:00,238.2,60.044,84.2,0.78,30.2,900,2.14,IQ8H-72-2-US
200257463750,SITE-A,2025-06-01 06:15:00,240.0,60.023,79.5,0.42,33.4,900,2.27,IQ8M-72-2-US
960300581088,SITE-A,2025-06-01 06:15:00,241.1,60.015,76.5,0.89,33.6,900,3.02,IQ8A-72-2-US
237322529830,SITE-A,2025-06-01 06:15:00,237.4,59.98,83.8,0.33,30.9,900,5.97,IQ8H-72-2-US
446550091180,SITE-A,2025-06-01 06:15:00,237.5,60.042,80.9,0.16,30.5,900,4.06,IQ8M-72-2-US
266083008710,SITE-B,2025-06-01 06:15:00,241.9,60.032,84.3,0.16,30.2,900,2.98,IQ8M-72-2-US
397812891304,SITE-B,2025-06-01 06:15:00,238.5,59.979,78.7,0.07,31.9,900,2.45,IQ8A-72-2-US
313091196685,SITE-B,2025-06-01 06:15:00,240.3,60.006,75.4,0.73,30.9,900,5.54,IQ8H-72-2-US
498151691878,SITE-B,2025-06-01 06:15:00,240.5,60.045,83.0,0.12,32.5,900,5.8,IQ8M-72-2-US
290102125438,SITE-B,2025-06-01 06:15:00,241.6,59.989,78.7,0.85,30.9,900,3.26,IQ8A-72-2-US
102556954434,SITE-B,2025-06-01 06:15:00,241.3,59.99,84.6,0.24,33.7,900,5.96,IQ8H-72-2-US
508358054262,SITE-B,2025-06-01 06:15:00,239.6,59.961,84.7,0.25,30.4,900,2.97,IQ8M-72-2-US
393310474099,SITE-B,2025-06-01 06:15:00,239.2,59.96,83.2,0.22,33.8,900,4.36,IQ8A-72-2-US
229696768464,SITE-B,2025-06-01 06:15:00,242.4,59.953,76.3,0.81,33.8,900,5.1,IQ8H-72-2-US
447536738264,SITE-B,2025-06-01 06:15:00,238.3,60.001,77.4,0.81,33.8,900,1.86,IQ8M-72-2-US
293535683746,SITE-C,2025-06-01 06:15:00,238.3,60.041,76.2,0.85,33.6,900,6.03,IQ8M-72-2-US
684592429975,SITE-C,2025-06-01 06:15:00,242.0,60.017,76.8,0.32,30.8,900,6.28,IQ8A-72-2-US
952320639367,SITE-C,2025-06-01 06:15:00,237.4,59.98,84.2,0.75,32.9,900,3.89,IQ8H-72-2-US
829915210270,SITE-C,2025-06-01 06:15:00,241.9,59.97,83.5,0.67,31.3,900,5.31,IQ8M-72-2-US
513997473986,SITE-C,2025-06-01 06:15:00,240.1,59.976,79.0,0.8,33.4,900,4.77,IQ8A-72-2-US
535097072494,SITE-C,2025-06-01 06:15:00,241.9,59.964,75.6,0.85,31.8,900,4.1,IQ8H-72-2-US
678135895602,SITE-C,2025-06-01 06:15:00,240.7,59.995,82.0,0.92,30.3,900,4.42,IQ8M-72-2-US
372471000912,SITE-C,2025-06-01 06:15:00,241.4,60.041,79.2,0.29,31.9,900,2.82,IQ8A-72-2-US
309601283964,SITE-C,2025-06-01 06:15:00,237.5,59.977,76.1,0.38,31.0,900,6.55,IQ8H-72-2-US
443518482250,SITE-C,2025-06-01 06:15:00,238.6,60.03,79.1,0.95,32.3,900,3.05,IQ8M-72-2-US
645125094128,SITE-D,2025-06-01 06:15:00,238.0,59.993,79.6,0.17,32.3,900,6.54,IQ8M-72-2-US
892029676167,SITE-D,2025-06-01 06:15:00,240.9,60.035,80.0,0.65,30.7,900,4.84,IQ8A-72-2-US
234721089767,SITE-D,2025-06-01 06:15:00,238.1,60.029,76.2,0.67,31.1,900,5.36,IQ8H-72-2-US
309593627507,SITE-D,2025-06-01 06:15:00,241.4,60.012,80.3,0.61,31.6,900,6.72,IQ8M-72-2-US
515381048029,SITE-D,2025-06-01 06:15:00,239.9,59.96,80.1,0.9,31.6,900,5.68,IQ8A-72-2-US
694061098694,SITE-D,2025-06-01 06:15:00,241.1,60.05,75.6,1.06,32.4,900,5.55,IQ8H-72-2-US
580501593187,SITE-D,2025-06-01 06:15:00,238.1,60.009,75.5,1.03,31.4,900,4.37,IQ8M-72-2-US
564861890909,SITE-D,2025-06-01 06:15:00,242.3,60.003,80.2,0.36,31.5,900,6.51,IQ8A-72-2-US
228242935541,SITE-D,2025-06-01 06:15:00,241.5,59.967,75.7,0.68,31.7,900,2.72,IQ8H-72-2-US
327387036431,SITE-D,2025-06-01 06:15:00,238.9,60.032,75.2,0.53,31.7,900,3.43,IQ8M-72-2-US
720455203063,SITE-E,2025-06-01 06:15:00,237.3,59.969,83.2,0.97,30.6,900,4.9,IQ8M-72-2-US
160237878504,SITE-E,2025-06-01 06:15:00,239.6,60.008,82.4,0.58,30.6,900,3.68,IQ8A-72-2-US
707643761579,SITE-E,2025-06-01 06:15:00,242.2,59.958,81.2,0.53,31.3,900,5.81,IQ8H-72-2-US
578015507756,SITE-E,2025-06-01 06:15:00,238.5,60.048,83.3,0.47,31.3,900,5.45,IQ8M-72-2-US
149680543237,SITE-E,2025-06-01 06:15:00,240.4,60.009,75.7,0.32,31.9,900,5.95,IQ8A-72-2-US
409135397229,SITE-E,2025-06-01 06:15:00,238.8,60.046,79.0,0.88,33.4,900,5.82,IQ8H-72-2-US
361822382459,SITE-E,2025-06-01 06:15:00,242.7,60.024,80.8,0.72,33.8,900,4.32,IQ8M-72-2-US
346545380174,SITE-E,2025-06-01 06:15:00,237.4,59.966,80.8,0.76,30.4,900,2.52,IQ8A-72-2-US
264807152456,SITE-E,2025-06-01 06:15:00,240.9,59.969,81.6,0.39,31.2,900,3.61,IQ8H-72-2-US
394389024361,SITE-E,2025-06-01 06:15:00,240.1,59.995,80.0,0.18,31.6,900,3.69,IQ8M-72-2-US
849663637755,SITE-A,2025-06-01 06:30:00,237.2,59.952,77.6,1.02,32.3,900,5.81,IQ8M-72-2-US
290477696309,SITE-A,2025-06-01 06:30:00,240.3,59.975,84.4,0.72,32.7,900,3.99,IQ8A-72-2-US
254024509602,SITE-A,2025-06-01 06:30:00,240.6,60.043,78.5,0.69,32.5,900,1.67,IQ8H-72-2-US
468551387033,SITE-A,2025-06-01 06:30:00,237.1,60.007,84.2,0.15,33.8,900,2.67,IQ8M-72-2-US
275186084697,SITE-A,2025-06-01 06:30:00,239.0,60.009,82.4,0.74,31.4,900,4.14,IQ8A-72-2-US
555940203440,SITE-A,2025-06-01 06:30:00,239.0,59.971,84.3,0.3,31.4,900,5.12,IQ8H-72-2-US
200257463750,SITE-A,2025-06-01 06:30:00,239.5,60.01,79.9,0.73,32.8,900,4.2,IQ8M-72-2-US
960300581088,SITE-A,2025-06-01 06:30:00,238.9,60.04,76.7,0.18,33.7,900,5.11,IQ8A-72-2-US
237322529830,SITE-A,2025-06-01 06:30:00,237.5,60.032,76.6,0.71,31.8,900,5.01,IQ8H-72-2-US
446550091180,SITE-A,2025-06-01 06:30:00,237.5,59.982,75.5,0.67,30.8,900,2.32,IQ8M-72-2-US
266083008710,SITE-B,2025-06-01 06:30:00,237.3,59.987,83.6,0.26,32.5,900,3.37,IQ8M-72-2-US
397812891304,SITE-B,2025-06-01 06:30:00,240.6,60.015,84.6,1.1,30.5,900,3.61,IQ8A-72-2-US
313091196685,SITE-B,2025-06-01 06:30:00,241.3,59.973,76.2,0.21,30.9,900,1.59,IQ8H-72-2-US
498151691878,SITE-B,2025-06-01 06:30:00,238.2,59.985,82.4,0.37,32.6,900,5.44,IQ8M-72-2-US
290102125438,SITE-B,2025-06-01 06:30:00,240.1,60.041,79.8,0.04,31.3,900,2.36,IQ8A-72-2-US
102556954434,SITE-B,2025-06-01 06:30:00,238.9,60.023,78.8,0.93,32.3,900,2.89,IQ8H-72-2-US
508358054262,SITE-B,2025-06-01 06:30:00,238.2,59.957,75.6,0.49,32.5,900,5.78,IQ8M-72-2-US
393310474099,SITE-B,2025-06-01 06:30:00,240.8,60.016,77.6,0.14,30.8,900,5.38,IQ8A-72-2-US
229696768464,SITE-B,2025-06-01 06:30:00,238.6,59.971,79.6,0.33,33.5,900,3.86,IQ8H-72-2-US
447536738264,SITE-B,2025-06-01 06:30:00,237.6,60.007,77.0,0.28,31.7,900,3.6,IQ8M-72-2-US
293535683746,SITE-C,2025-06-01 06:30:00,241.1,60.015,80.4,0.46,33.6,900,6.23,IQ8M-72-2-US
684592429975,SITE-C,2025-06-01 06:30:00,242.6,60.037,75.5,0.73,32.2,900,5.55,IQ8A-72-2-US
952320639367,SITE-C,2025-06-01 06:30:00,239.7,60.033,76.3,0.89,33.9,900,2.04,IQ8H-72-2-US
829915210270,SITE-C,2025-06-01 06:30:00,238.7,60.004,77.6,0.83,33.6,900,3.1,IQ8M-72-2-US
513997473986,SITE-C,2025-06-01 06:30:00,240.7,60.009,80.9,0.58,33.7,900,4.64,IQ8A-72-2-US
535097072494,SITE-C,2025-06-01 06:30:00,237.8,60.006,77.2,0.61,34.0,900,5.66,IQ8H-72-2-US
678135895602,SITE-C,2025-06-01 06:30:00,240.7,59.997,80.4,0.84,33.9,900,5.36,IQ8M-72-2-US
372471000912,SITE-C,2025-06-01 06:30:00,240.3,60.015,76.2,0.67,31.4,900,2.93,IQ8A-72-2-US
309601283964,SITE-C,2025-06-01 06:30:00,241.5,59.973,83.6,0.55,30.7,900,4.03,IQ8H-72-2-US
443518482250,SITE-C,2025-06-01 06:30:00,237.1,59.966,75.1,0.83,32.9,900,5.81,IQ8M-72-2-US
645125094128,SITE-D,2025-06-01 06:30:00,239.5,59.974,81.8,0.79,30.4,900,3.01,IQ8M-72-2-US
892029676167,SITE-D,2025-06-01 06:30:00,241.7,59.954,76.8,0.57,32.8,900,4.34,IQ8A-72-2-US
234721089767,SITE-D,2025-06-01 06:30:00,240.3,59.995,76.7,0.55,32.8,900,3.58,IQ8H-72-2-US
309593627507,SITE-D,2025-06-01 06:30:00,238.4,60.021,84.8,0.42,32.2,900,2.3,IQ8M-72-2-US
515381048029,SITE-D,2025-06-01 06:30:00,240.8,59.992,83.7,1.15,33.6,900,6.04,IQ8A-72-2-US
694061098694,SITE-D,2025-06-01 06:30:00,240.9,59.954,79.1,0.43,31.0,900,4.97,IQ8H-72-2-US
580501593187,SITE-D,2025-06-01 06:30:00,237.6,60.026,77.6,0.97,30.7,900,5.02,IQ8M-72-2-US
564861890909,SITE-D,2025-06-01 06:30:00,239.3,59.953,82.7,0.59,30.9,900,4.44,IQ8A-72-2-US
228242935541,SITE-D,2025-06-01 06:30:00,242.0,59.993,81.2,0.53,33.5,900,3.02,IQ8H-72-2-US
327387036431,SITE-D,2025-06-01 06:30:00,237.5,60.014,84.8,1.03,32.9,900,3.02,IQ8M-72-2-US
720455203063,SITE-E,2025-06-01 06:30:00,237.7,60.002,80.5,0.97,32.4,900,4.22,IQ8M-72-2-US
160237878504,SITE-E,2025-06-01 06:30:00,241.3,59.975,78.6,0.68,32.3,900,4.28,IQ8A-72-2-US
707643761579,SITE-E,2025-06-01 06:30:00,242.5,59.977,82.2,0.56,30.7,900,4.76,IQ8H-72-2-US
578015507756,SITE-E,2025-06-01 06:30:00,238.1,59.987,82.4,0.35,30.1,900,4.27,IQ8M-72-2-US
149680543237,SITE-E,2025-06-01 06:30:00,238.9,59.977,77.2,0.62,31.9,900,3.62,IQ8A-72-2-US
409135397229,SITE-E,2025-06-01 06:30:00,240.2,59.961,78.5,0.34,31.1,900,4.16,IQ8H-72-2-US
361822382459,SITE-E,2025-06-01 06:30:00,242.0,60.027,80.0,0.4,31.7,900,3.68,IQ8M-72-2-US
346545380174,SITE-E,2025-06-01 06:30:00,240.8,59.991,80.5,0.65,31.5,900,4.59,IQ8A-72-2-US
264807152456,SITE-E,2025-06-01 06:30:00,240.6,59.982,80.2,0.97,32.1,900,5.27,IQ8H-72-2-US
394389024361,SITE-E,2025-06-01 06:30:00,238.6,60.016,83.1,0.32,31.1,900,3.39,IQ8M-72-2-US
849663637755,SITE-A,2025-06-01 06:45:00,240.1,60.022,83.8,0.1,30.3,900,4.61,IQ8M-72-2-US
290477696309,SITE-A,2025-06-01 06:45:00,237.7,59.975,78.9,0.01,32.1,900,5.14,IQ8A-72-2-US
254024509602,SITE-A,2025-06-01 06:45:00,242.5,59.973,79.4,0.28,32.6,900,4.91,IQ8H-72-2-US
468551387033,SITE-A,2025-06-01 06:45:00,239.1,59.957,82.9,0.11,32.9,900,4.99,IQ8M-72-2-US
275186084697,SITE-A,2025-06-01 06:45:00,239.8,60.001,81.9,0.24,32.8,900,3.84,IQ8A-72-2-US
555940203440,SITE-A,2025-06-01 06:45:00,240.9,59.988,81.8,0.78,32.2,900,4.5,IQ8H-72-2-US
200257463750,SITE-A,2025-06-01 06:45:00,242.6,60.008,77.6,0.52,33.9,900,5.52,IQ8M-72-2-US
960300581088,SITE-A,2025-06-01 06:45:00,238.5,59.979,81.0,0.1,32.1,900,4.7,IQ8A-72-2-US
237322529830,SITE-A,2025-06-01 06:45:00,238.1,60.047,82.6,0.72,30.8,900,5.21,IQ8H-72-2-US
446550091180,SITE-A,2025-06-01 06:45:00,242.1,60.0,83.2,0.77,31.8,900,5.35,IQ8M-72-2-US
266083008710,SITE-B,2025-06-01 06:45:00,239.9,59.964,83.4,1.08,32.7,900,5.17,IQ8M-72-2-US
397812891304,SITE-B,2025-06-01 06:45:00,241.5,60.011,82.7,0.23,30.3,900,2.89,IQ8A-72-2-US
313091196685,SITE-B,2025-06-01 06:45:00,237.4,60.022,78.6,0.1,30.1,900,3.04,IQ8H-72-2-US
498151691878,SITE-B,2025-06-01 06:45:00,238.6,59.997,76.4,0.99,31.6,900,5.16,IQ8M-72-2-US
290102125438,SITE-B,2025-06-01 06:45:00,237.7,60.04,79.0,0.46,32.4,900,2.13,IQ8A-72-2-US
102556954434,SITE-B,2025-06-01 06:45:00,240.5,60.016,84.7,0.05,30.9,900,5.89,IQ8H-72-2-US
508358054262,SITE-B,2025-06-01 06:45:00,238.4,59.979,77.1,0.76,32.8,900,2.81,IQ8M-72-2-US
393310474099,SITE-B,2025-06-01 06:45:00,241.0,59.97,83.5,0.83,30.3,900,3.09,IQ8A-72-2-US
229696768464,SITE-B,2025-06-01 06:45:00,241.8,59.959,75.8,0.05,31.9,900,3.08,IQ8H-72-2-US
447536738264,SITE-B,2025-06-01 06:45:00,238.5,60.036,77.5,0.11,30.7,900,4.02,IQ8M-72-2-US
293535683746,SITE-C,2025-06-01 06:45:00,237.8,59.954,81.2,0.1,33.0,900,5.61,IQ8M-72-2-US
684592429975,SITE-C,2025-06-01 06:45:00,238.1,59.995,78.2,0.9,32.9,900,5.91,IQ8A-72-2-US
952320639367,SITE-C,2025-06-01 06:45:00,241.1,59.96,76.1,0.64,33.1,900,4.61,IQ8H-72-2-US
829915210270,SITE-C,2025-06-01 06:45:00,239.1,60.027,82.0,0.73,30.6,900,2.78,IQ8M-72-2-US
513997473986,SITE-C,2025-06-01 06:45:00,237.1,60.012,78.5,0.78,33.3,900,5.0,IQ8A-72-2-US
535097072494,SITE-C,2025-06-01 06:45:00,239.1,60.043,80.2,0.5,32.3,900,2.28,IQ8H-72-2-US
678135895602,SITE-C,2025-06-01 06:45:00,239.6,60.018,80.4,0.33,31.4,900,3.46,IQ8M-72-2-US
372471000912,SITE-C,2025-06-01 06:45:00,240.6,60.041,78.5,0.74,31.7,900,5.89,IQ8A-72-2-US
309601283964,SITE-C,2025-06-01 06:45:00,238.6,59.967,80.8,0.93,30.4,900,4.27,IQ8H-72-2-US
443518482250,SITE-C,2025-06-01 06:45:00,240.7,60.043,84.0,0.69,31.6,900,4.58,IQ8M-72-2-US
645125094128,SITE-D,2025-06-01 06:45:00,238.4,59.966,78.4,0.42,33.0,900,4.43,IQ8M-72-2-US
892029676167,SITE-D,2025-06-01 06:45:00,238.4,60.014,80.8,0.81,30.5,900,3.3,IQ8A-72-2-US
234721089767,SITE-D,2025-06-01 06:45:00,240.2,59.999,75.3,0.76,30.2,900,4.83,IQ8H-72-2-US
309593627507,SITE-D,2025-06-01 06:45:00,237.9,59.988,75.6,0.64,32.1,900,4.49,IQ8M-72-2-US
515381048029,SITE-D,2025-06-01 06:45:00,241.0,60.048,83.7,0.91,33.3,900,5.63,IQ8A-72-2-US
694061098694,SITE-D,2025-06-01 06:45:00,239.2,60.021,77.7,0.64,31.9,900,4.61,IQ8H-72-2-US
580501593187,SITE-D,2025-06-01 06:45:00,241.0,60.043,79.6,0.27,32.6,900,4.15,IQ8M-72-2-US
564861890909,SITE-D,2025-06-01 06:45:00,238.7,60.031,81.7,0.71,31.2,900,4.78,IQ8A-72-2-US
228242935541,SITE-D,2025-06-01 06:45:00,242.2,59.992,83.1,0.96,32.4,900,2.77,IQ8H-72-2-US
327387036431,SITE-D,2025-06-01 06:45:00,237.2,60.04,80.1,1.03,30.0,900,5.28,IQ8M-72-2-US
720455203063,SITE-E,2025-06-01 06:45:00,242.1,59.978,79.6,0.53,31.2,900,5.67,IQ8M-72-2-US
160237878504,SITE-E,2025-06-01 06:45:00,241.3,60.009,76.9,0.96,33.9,900,3.66,IQ8A-72-2-US
707643761579,SITE-E,2025-06-01 06:45:00,238.0,60.018,82.6,0.85,31.0,900,5.75,IQ8H-72-2-US
578015507756,SITE-E,2025-06-01 06:45:00,242.9,59.989,77.1,0.53,30.0,900,6.31,IQ8M-72-2-US
149680543237,SITE-E,2025-06-01 06:45:00,239.0,60.025,75.1,0.45,31.6,900,4.36,IQ8A-72-2-US
409135397229,SITE-E,2025-06-01 06:45:00,239.5,60.037,81.8,0.19,30.9,900,2.87,IQ8H-72-2-US
361822382459,SITE-E,2025-06-01 06:45:00,238.0,60.011,84.1,0.48,33.5,900,3.06,IQ8M-72-2-US
346545380174,SITE-E,2025-06-01 06:45:00,238.8,60.006,75.6,1.15,33.1,900,6.34,IQ8A-72-2-US
264807152456,SITE-E,2025-06-01 06:45:00,237.8,59.98,76.3,0.5,31.9,900,3.13,IQ8H-72-2-US
394389024361,SITE-E,2025-06-01 06:45:00,238.5,59.998,77.6,0.89,32.1,900,3.22,IQ8M-72-2-US
849663637755,SITE-A,2025-06-01 07:00:00,241.5,60.037,79.7,1.52,33.2,900,11.08,IQ8M-72-2-US
290477696309,SITE-A,2025-06-01 07:00:00,237.3,60.02,76.6,2.21,33.4,900,11.76,IQ8A-72-2-US
254024509602,SITE-A,2025-06-01 07:00:00,240.0,60.038,79.9,1.79,33.2,900,9.51,IQ8H-72-2-US
468551387033,SITE-A,2025-06-01 07:00:00,242.4,60.007,81.9,1.57,32.2,900,11.72,IQ8M-72-2-US
275186084697,SITE-A,2025-06-01 07:00:00,238.1,59.96,82.6,1.52,32.5,900,13.62,IQ8A-72-2-US
555940203440,SITE-A,2025-06-01 07:00:00,238.7,59.954,76.8,1.65,31.1,900,10.31,IQ8H-72-2-US
200257463750,SITE-A,2025-06-01 07:00:00,238.8,59.953,85.1,1.98,32.7,900,13.52,IQ8M-72-2-US
960300581088,SITE-A,2025-06-01 07:00:00,241.8,60.022,83.0,0.97,32.3,900,8.68,IQ8A-72-2-US
237322529830,SITE-A,2025-06-01 07:00:00,238.3,60.0,77.8,1.64,33.0,900,10.9,IQ8H-72-2-US
446550091180,SITE-A,2025-06-01 07:00:00,240.4,60.023,81.5,1.47,33.0,900,12.05,IQ8M-72-2-US
266083008710,SITE-B,2025-06-01 07:00:00,237.4,60.026,80.5,1.55,33.9,900,13.12,IQ8M-72-2-US
397812891304,SITE-B,2025-06-01 07:00:00,237.2,59.96,82.4,1.52,30.0,900,10.31,IQ8A-72-2-US
313091196685,SITE-B,2025-06-01 07:00:00,241.7,59.954,81.5,1.54,32.1,900,13.07,IQ8H-72-2-US
498151691878,SITE-B,2025-06-01 07:00:00,239.5,59.988,76.1,1.1,33.7,900,8.84,IQ8M-72-2-US
290102125438,SITE-B,2025-06-01 07:00:00,237.9,59.95,80.6,1.52,34.0,900,14.54,IQ8A-72-2-US
102556954434,SITE-B,2025-06-01 07:00:00,238.9,59.99,83.2,1.22,31.8,900,9.63,IQ8H-72-2-US
508358054262,SITE-B,2025-06-01 07:00:00,238.2,59.978,79.1,2.16,33.9,900,15.27,IQ8M-72-2-US
393310474099,SITE-B,2025-06-01 07:00:00,242.5,60.033,76.0,1.91,33.0,900,12.01,IQ8A-72-2-US
229696768464,SITE-B,2025-06-01 07:00:00,240.1,60.0,79.8,1.12,32.3,900,12.42,IQ8H-72-2-US
447536738264,SITE-B,2025-06-01 07:00:00,241.9,60.048,75.7,1.71,31.3,900,13.07,IQ8M-72-2-US
293535683746,SITE-C,2025-06-01 07:00:00,237.6,60.019,75.8,2.02,33.7,900,14.58,IQ8M-72-2-US
684592429975,SITE-C,2025-06-01 07:00:00,239.0,59.987,85.0,1.77,33.5,900,12.29,IQ8A-72-2-US
952320639367,SITE-C,2025-06-01 07:00:00,242.4,60.039,79.4,2.15,31.2,900,14.18,IQ8H-72-2-US
